epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,807.582,1.71796,3.06984,1.90542,0.72577,0.61615,0.69951,0.36213,1.22473,4.40351,1.23703,0.0820786,0.00199127,0.00199127
2,1133.39,1.55449,1.87882,1.69667,0.69489,0.63246,0.67782,0.35427,1.22918,7.90603,1.31284,0.0640784,0.00399102,0.00399102
3,1451.65,1.62366,1.98648,1.77632,0.62827,0.57591,0.58382,0.28719,1.30631,10.3843,1.44462,0.0460771,0.0059898,0.0059898
4,1819.28,1.76583,2.27516,1.91635,0.47065,0.40952,0.38711,0.17161,1.51879,28.8035,1.68084,0.0280742,0.00798688,0.00798688
5,2163.59,1.8929,2.68541,2.08592,0.13803,0.17006,0.06104,0.01923,2.05564,33.6703,2.46963,0.0100688,0.00998151,0.00998151
6,2594.58,1.95485,2.87331,2.17937,0.46386,0.33351,0.31467,0.13443,1.63817,5.84455,1.85681,0.00998474,0.00998474,0.00998474
7,3002.44,1.88843,2.66222,2.10082,0.52119,0.44919,0.44204,0.17259,1.60842,4.16169,1.76126,0.00997803,0.00997803,0.00997803
8,3413.16,1.81504,2.5072,2.03326,0.6189,0.48301,0.50815,0.23173,1.41976,6.51192,1.57014,0.00997011,0.00997011,0.00997011
9,3760.68,1.75657,2.37642,1.98159,0.65872,0.49483,0.54122,0.26075,1.38838,2.24677,1.52782,0.00996097,0.00996097,0.00996097
10,4228.07,1.70925,2.27318,1.94185,0.62455,0.46847,0.50801,0.23042,1.42056,3.44377,1.57208,0.00995062,0.00995062,0.00995062
11,4653.52,1.68951,2.18645,1.92442,0.65398,0.55031,0.57079,0.30366,1.25794,2.65024,1.41958,0.00993906,0.00993906,0.00993906
12,5295.51,1.65867,2.12483,1.88986,0.74117,0.55559,0.62171,0.30994,1.31506,2.67746,1.44749,0.00992629,0.00992629,0.00992629
13,5799.97,1.65671,2.08907,1.88833,0.72915,0.60749,0.6788,0.34916,1.28571,2.06425,1.43265,0.00991232,0.00991232,0.00991232
14,6125.56,1.62355,2.01406,1.84849,0.69916,0.59076,0.63668,0.34205,1.21013,2.6455,1.37018,0.00989715,0.00989715,0.00989715
15,6445.91,1.58133,1.95042,1.81681,0.75704,0.63952,0.71812,0.39517,1.15999,2.86968,1.31292,0.00988079,0.00988079,0.00988079
16,6772.98,1.58101,1.90556,1.80776,0.77004,0.64694,0.72794,0.4084,1.12277,4.01829,1.30754,0.00986323,0.00986323,0.00986323
17,7400.29,1.57039,1.91255,1.7977,0.7926,0.65853,0.73748,0.41778,1.11524,3.58481,1.28258,0.00984449,0.00984449,0.00984449
18,7977.98,1.58155,1.8763,1.80764,0.75669,0.67478,0.73953,0.43276,1.08061,2.98936,1.25908,0.00982456,0.00982456,0.00982456
19,8624.3,1.56336,1.84891,1.7868,0.77189,0.67582,0.76457,0.44226,1.0798,1.49738,1.24332,0.00980345,0.00980345,0.00980345
