epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,196.131,1.66963,2.58799,1.96481,0.57696,0.49674,0.51284,0.21893,1.55396,3.80386,1.6035,0.0700735,0.00332516,0.00332516
2,349.794,1.73061,2.1918,1.99535,0.45806,0.44122,0.41705,0.18076,1.56803,3.23814,1.66928,0.0400406,0.00662554,0.00662554
3,502.302,1.93148,2.66302,2.21266,0.08396,0.13548,0.04566,0.01389,2.15426,270.884,2.78893,0.00997461,0.00989291,0.00989291
4,654.85,2.09809,3.12218,2.41191,0.12596,0.16485,0.08091,0.03026,2.01984,68.3475,2.31947,0.0098515,0.0098515,0.0098515
5,806.765,1.99184,2.90272,2.31447,0.28617,0.28763,0.20292,0.08965,1.70951,9.06042,1.94171,0.009802,0.009802,0.009802
6,956.431,1.89576,2.69395,2.21474,0.41047,0.29943,0.2866,0.12845,1.69873,4.78712,1.90354,0.0097525,0.0097525,0.0097525
7,1105.71,1.83809,2.55294,2.16466,0.43966,0.35707,0.34671,0.14933,1.61281,7.99338,1.80704,0.009703,0.009703,0.009703
8,1254.8,1.78066,2.39497,2.11402,0.49261,0.40496,0.4067,0.18752,1.55933,4.20251,1.72953,0.0096535,0.0096535,0.0096535
9,1406.19,1.72688,2.31005,2.05596,0.5333,0.40761,0.42008,0.20839,1.4657,3.92264,1.64015,0.009604,0.009604,0.009604
10,1556.58,1.70011,2.23922,2.03188,0.55426,0.47132,0.47712,0.23204,1.46462,2.61055,1.62669,0.0095545,0.0095545,0.0095545
11,1704.74,1.67326,2.18475,2.00291,0.50778,0.44366,0.45585,0.24272,1.34555,3.48324,1.5265,0.009505,0.009505,0.009505
12,1847.75,1.64872,2.09721,1.97585,0.61432,0.49128,0.53184,0.26735,1.41769,3.32021,1.59201,0.0094555,0.0094555,0.0094555
13,1985.39,1.64039,2.05165,1.96434,0.66074,0.5112,0.56324,0.29971,1.29286,2.39606,1.48388,0.009406,0.009406,0.009406
14,2127.28,1.59751,2.00005,1.92968,0.63108,0.50193,0.54175,0.2964,1.26733,6.97299,1.46654,0.0093565,0.0093565,0.0093565
15,2269.48,1.58908,1.95051,1.91823,0.62583,0.53883,0.55994,0.31225,1.23807,3.1994,1.43065,0.009307,0.009307,0.009307
16,2415.65,1.58341,1.91095,1.90421,0.64644,0.55007,0.59273,0.29758,1.33307,3.12971,1.48925,0.0092575,0.0092575,0.0092575
17,2559.23,1.5518,1.8726,1.8869,0.72993,0.56304,0.63388,0.34897,1.21416,4.54069,1.40204,0.009208,0.009208,0.009208
18,2701.1,1.54039,1.83608,1.86944,0.70376,0.5595,0.63864,0.37366,1.16331,4.35791,1.36637,0.0091585,0.0091585,0.0091585
19,2840.88,1.52317,1.78331,1.8493,0.68053,0.58353,0.63809,0.37194,1.17827,3.52385,1.38148,0.009109,0.009109,0.009109
20,2976.6,1.51234,1.7811,1.84087,0.71537,0.59346,0.66773,0.39464,1.15536,2.53718,1.35599,0.0090595,0.0090595,0.0090595
21,3118.49,1.50929,1.7526,1.84159,0.68928,0.61494,0.67494,0.37591,1.21138,1.87122,1.38051,0.00901,0.00901,0.00901
22,3260.88,1.48846,1.69943,1.8188,0.70814,0.61034,0.67333,0.40014,1.10903,4.99279,1.31216,0.0089605,0.0089605,0.0089605
23,3407.26,1.47851,1.67966,1.80569,0.74286,0.61682,0.69732,0.42127,1.10776,1.94738,1.30528,0.008911,0.008911,0.008911
24,3583.69,1.47461,1.6796,1.80888,0.73364,0.61452,0.70011,0.43078,1.07483,1.81399,1.30331,0.0088615,0.0088615,0.0088615
25,3731.18,1.4698,1.6611,1.80108,0.74633,0.64287,0.71856,0.43674,1.08475,2.14779,1.2913,0.008812,0.008812,0.008812
26,3876.93,1.4448,1.6187,1.77682,0.78643,0.65498,0.73492,0.44545,1.08923,1.6551,1.28746,0.0087625,0.0087625,0.0087625
27,4024.17,1.44865,1.61571,1.77571,0.75944,0.66975,0.74851,0.45793,1.06831,2.02243,1.27646,0.008713,0.008713,0.008713
28,4169.68,1.41994,1.57518,1.75367,0.80232,0.66858,0.75743,0.46093,1.09519,2.85599,1.28795,0.0086635,0.0086635,0.0086635
