epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,729.109,1.72796,3.12877,1.90258,0.71357,0.63521,0.67613,0.35742,1.17735,4.06384,1.24584,0.0820793,0.00199119,0.00199119
2,1191.18,1.56345,1.89097,1.70811,0.71677,0.60292,0.66719,0.34654,1.3036,2.71154,1.35198,0.0640791,0.00399099,0.00399099
3,1530.03,1.61628,1.98068,1.77884,0.65923,0.56173,0.58775,0.29248,1.30648,12.77,1.42325,0.0460781,0.00598998,0.00598998
4,1863.38,1.74294,2.24751,1.91724,0.48633,0.36508,0.34937,0.14218,1.63205,10.9049,1.78694,0.0280757,0.00798756,0.00798756
5,2217.17,1.88394,2.60636,2.06416,0.33328,0.23504,0.18255,0.06497,1.8682,43.9404,2.1918,0.0100712,0.00998312,0.00998312
6,2670.66,1.96702,2.87897,2.18287,0.39332,0.3393,0.27193,0.10468,1.65652,19.7689,1.86533,0.00998739,0.00998739,0.00998739
7,2966.41,1.88901,2.70747,2.12463,0.50229,0.34899,0.34028,0.145,1.60627,21.4357,1.81465,0.00998184,0.00998184,0.00998184
8,3226.35,1.81781,2.53638,2.03817,0.5453,0.41845,0.44635,0.19329,1.4815,8.31664,1.61763,0.00997529,0.00997529,0.00997529
9,3475.71,1.76879,2.40307,1.99848,0.61222,0.4602,0.48186,0.2188,1.46537,12.3125,1.62679,0.00996773,0.00996773,0.00996773
10,3771.76,1.71473,2.27623,1.94695,0.64949,0.54934,0.58632,0.30361,1.30963,2.56674,1.47303,0.00995918,0.00995918,0.00995918
11,4106.37,1.68806,2.18954,1.92882,0.68654,0.58496,0.64187,0.33917,1.2588,2.61003,1.41388,0.00994962,0.00994962,0.00994962
12,4395.9,1.66307,2.12387,1.89641,0.67894,0.60049,0.64294,0.34817,1.24225,6.48679,1.42122,0.00993906,0.00993906,0.00993906
13,4653.93,1.62758,2.06458,1.86553,0.72037,0.61159,0.66152,0.35241,1.2377,3.46318,1.39372,0.0099275,0.0099275,0.0099275
14,4925.56,1.60578,2.00584,1.85164,0.73155,0.62672,0.67755,0.36583,1.23181,2.22296,1.36751,0.00991495,0.00991495,0.00991495
15,5180.07,1.59654,1.95975,1.82891,0.72409,0.6664,0.7202,0.38894,1.20196,2.06872,1.37358,0.00990141,0.00990141,0.00990141
16,5425.53,1.58727,1.94621,1.82897,0.74425,0.66936,0.72418,0.40034,1.15738,3.81273,1.31725,0.00988688,0.00988688,0.00988688
17,5671.7,1.56516,1.91481,1.80097,0.77701,0.6782,0.7422,0.40704,1.17833,3.879,1.33797,0.00987136,0.00987136,0.00987136
18,5936.76,1.57086,1.89644,1.80823,0.79517,0.66269,0.74277,0.42324,1.13549,1.74083,1.29799,0.00985486,0.00985486,0.00985486
19,6189.31,1.54111,1.83566,1.78281,0.80195,0.68391,0.76548,0.45182,1.0751,2.31812,1.25433,0.00983738,0.00983738,0.00983738
20,6507.68,1.50909,1.74276,1.74576,0.78129,0.66233,0.74278,0.4293,1.06052,2.4863,1.25062,0.00981892,0.00981892,0.00981892
21,7145.2,1.49856,1.7396,1.73991,0.80942,0.72867,0.79337,0.46694,1.06891,1.74088,1.23373,0.00979949,0.00979949,0.00979949
22,7443.63,1.50248,1.71542,1.73474,0.77907,0.73401,0.79778,0.46734,1.09349,1.8884,1.25055,0.00977909,0.00977909,0.00977909
23,8237.32,1.4904,1.7186,1.7363,0.8024,0.71925,0.79311,0.47185,1.05501,1.92157,1.22454,0.00975773,0.00975773,0.00975773
24,8858.71,1.48449,1.6843,1.72026,0.81337,0.74155,0.81157,0.49171,1.02204,1.37189,1.20292,0.00973541,0.00973541,0.00973541
25,9210.83,1.4736,1.66139,1.71225,0.80619,0.72272,0.79519,0.48939,1.0084,1.23532,1.18582,0.00971213,0.00971213,0.00971213
26,9574.36,1.45414,1.62633,1.69807,0.8272,0.75962,0.82064,0.50418,1.02199,1.89914,1.18599,0.0096879,0.0096879,0.0096879
27,9991.46,1.47376,1.65159,1.70698,0.8272,0.76314,0.82055,0.50511,1.00497,1.48952,1.18052,0.00966273,0.00966273,0.00966273
28,10407.2,1.47176,1.64318,1.70816,0.81255,0.76262,0.82084,0.5126,0.96664,1.78304,1.15984,0.00963661,0.00963661,0.00963661
29,10663.1,1.45176,1.63164,1.68728,0.84179,0.77106,0.84172,0.53406,0.94528,1.26686,1.13753,0.00960956,0.00960956,0.00960956
30,10903.5,1.43581,1.59911,1.68036,0.83014,0.78799,0.83988,0.53402,0.95993,1.26029,1.14696,0.00958158,0.00958158,0.00958158
