epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,101.479,1.17809,1.64141,1.42843,0.62953,0.56832,0.6135,0.35906,1.29628,1.3931,1.52802,0.0700862,0.00332375,0.00332375
2,171.627,1.22734,1.3826,1.42967,0.65824,0.59018,0.63949,0.38419,1.33067,1.35208,1.56436,0.0400533,0.00662414,0.00662414
3,240.996,1.39951,1.67801,1.56982,0.29167,0.28653,0.20296,0.08952,2.04915,3.60547,2.28764,0.0099873,0.00989152,0.00989152
4,313.802,1.54757,1.94926,1.69999,0.47046,0.36066,0.35585,0.18631,1.78342,2.50809,2.08006,0.0098515,0.0098515,0.0098515
5,386.86,1.48645,1.83735,1.65885,0.59823,0.48878,0.52675,0.30074,1.50865,1.87467,1.80302,0.009802,0.009802,0.009802
6,457.744,1.41265,1.70472,1.60913,0.64083,0.51686,0.57297,0.33537,1.46658,1.56553,1.73771,0.0097525,0.0097525,0.0097525
7,534.263,1.34522,1.57513,1.5457,0.69116,0.55083,0.61225,0.37353,1.36758,1.44946,1.6423,0.009703,0.009703,0.009703
8,616.262,1.30299,1.50017,1.51857,0.69036,0.57997,0.64398,0.38726,1.36306,1.37271,1.64185,0.0096535,0.0096535,0.0096535
9,697.171,1.26309,1.43673,1.49023,0.73939,0.62319,0.70346,0.43942,1.28531,1.25894,1.56379,0.009604,0.009604,0.009604
10,785.201,1.2425,1.37228,1.46792,0.77947,0.64388,0.73769,0.46764,1.24205,1.15289,1.51301,0.0095545,0.0095545,0.0095545
11,866.829,1.22177,1.34215,1.45377,0.76431,0.66338,0.75288,0.47756,1.21096,1.1102,1.48081,0.009505,0.009505,0.009505
12,944.777,1.20416,1.29781,1.44092,0.78611,0.69388,0.77225,0.49249,1.2197,1.0666,1.47855,0.0094555,0.0094555,0.0094555
13,1023.51,1.17309,1.25106,1.41778,0.76465,0.66886,0.75599,0.48334,1.20492,1.11317,1.4877,0.009406,0.009406,0.009406
14,1106.27,1.16258,1.21053,1.40982,0.79087,0.73153,0.80195,0.51839,1.16583,0.98877,1.46361,0.0093565,0.0093565,0.0093565
15,1188.76,1.15516,1.20355,1.40007,0.80526,0.72483,0.79746,0.52296,1.16524,0.99927,1.44666,0.009307,0.009307,0.009307
16,1272.94,1.14079,1.1768,1.38406,0.83052,0.73467,0.82712,0.55127,1.13001,0.94477,1.39318,0.0092575,0.0092575,0.0092575
17,1355.46,1.11446,1.14143,1.36712,0.82517,0.72162,0.81575,0.54599,1.09461,0.94321,1.38395,0.009208,0.009208,0.009208
18,1435.79,1.10976,1.11462,1.35513,0.84106,0.74026,0.83433,0.55694,1.10723,0.91756,1.38484,0.0091585,0.0091585,0.0091585
19,1511.6,1.08326,1.09336,1.34376,0.82924,0.76122,0.84025,0.57065,1.09302,0.87267,1.36545,0.009109,0.009109,0.009109
20,1586.22,1.08702,1.08951,1.3445,0.86264,0.75435,0.84391,0.58259,1.0638,0.85437,1.35069,0.0090595,0.0090595,0.0090595
21,1661.91,1.06768,1.05594,1.33119,0.86338,0.76503,0.85538,0.58859,1.05655,0.8387,1.34594,0.00901,0.00901,0.00901
22,1737.68,1.06507,1.05329,1.32761,0.83753,0.76631,0.84241,0.58174,1.06782,0.8439,1.34442,0.0089605,0.0089605,0.0089605
23,1813.52,1.05292,1.02295,1.31298,0.87194,0.78161,0.86589,0.59962,1.06569,0.80584,1.32371,0.008911,0.008911,0.008911
