epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,166.896,1.59115,2.82643,1.89092,0.51408,0.48465,0.45701,0.1982,1.90114,1.85496,1.97997,0.0700647,0.00332615,0.00332615
2,294.86,1.44954,1.68329,1.75603,0.45893,0.44027,0.40975,0.16713,1.98415,2.11483,2.0879,0.0400317,0.00662652,0.00662652
3,421.829,1.64054,2.04601,1.94237,0.31493,0.35902,0.18704,0.07814,2.21097,2.92252,2.38608,0.00996573,0.00989389,0.00989389
4,550.318,1.65555,2.13549,1.98132,0.44677,0.43787,0.39377,0.16292,1.96156,2.1555,2.05608,0.0098515,0.0098515,0.0098515
5,681.903,1.58011,1.98181,1.91127,0.51155,0.46913,0.46027,0.20595,1.88367,1.93727,2.02684,0.009802,0.009802,0.009802
6,808.049,1.50337,1.83061,1.84093,0.56031,0.47683,0.50534,0.23102,1.84132,1.74743,1.95594,0.0097525,0.0097525,0.0097525
7,934.584,1.44665,1.71814,1.7942,0.64349,0.56814,0.61349,0.28105,1.6998,1.57411,1.83582,0.009703,0.009703,0.009703
8,1062.2,1.40645,1.62057,1.75323,0.59646,0.55961,0.57069,0.27712,1.69434,1.56245,1.77756,0.0096535,0.0096535,0.0096535
9,1188.23,1.36769,1.55867,1.72112,0.67521,0.61733,0.65993,0.31956,1.65966,1.39687,1.75714,0.009604,0.009604,0.009604
10,1314.39,1.33174,1.4914,1.67932,0.71156,0.64546,0.69708,0.34907,1.63819,1.36928,1.74252,0.0095545,0.0095545,0.0095545
11,1441.93,1.31021,1.44281,1.6551,0.71568,0.64259,0.71122,0.36193,1.5768,1.3031,1.68726,0.009505,0.009505,0.009505
12,1567.84,1.29574,1.40909,1.6387,0.69427,0.68245,0.71245,0.36999,1.54075,1.23906,1.64754,0.0094555,0.0094555,0.0094555
13,1693.9,1.2718,1.36409,1.62754,0.72607,0.6342,0.70103,0.36381,1.57743,1.27523,1.66308,0.009406,0.009406,0.009406
14,1818.97,1.24979,1.3256,1.60864,0.74387,0.68426,0.7497,0.4031,1.50913,1.17193,1.61349,0.0093565,0.0093565,0.0093565
15,1944.06,1.22911,1.2917,1.58788,0.74392,0.70751,0.76708,0.42117,1.50453,1.11227,1.5996,0.009307,0.009307,0.009307
16,2069.71,1.2141,1.26822,1.56714,0.69642,0.70309,0.72243,0.38818,1.47973,1.17474,1.55811,0.0092575,0.0092575,0.0092575
17,2195.37,1.20157,1.24487,1.56213,0.70227,0.70883,0.74068,0.40715,1.49846,1.10667,1.58316,0.009208,0.009208,0.009208
18,2320.24,1.19553,1.21457,1.54242,0.76245,0.72392,0.78184,0.42893,1.47281,1.07048,1.59889,0.0091585,0.0091585,0.0091585
19,2443.77,1.1816,1.19512,1.5378,0.74919,0.72708,0.78268,0.43488,1.46053,1.05297,1.54682,0.009109,0.009109,0.009109
20,2567.74,1.17416,1.17037,1.52841,0.78147,0.73509,0.8044,0.45105,1.45532,1.02968,1.54142,0.0090595,0.0090595,0.0090595
21,2692.45,1.14932,1.14912,1.50857,0.76135,0.73062,0.79375,0.45066,1.44479,1.03584,1.52904,0.00901,0.00901,0.00901
22,2816.15,1.14806,1.13138,1.50632,0.75836,0.74184,0.78568,0.452,1.41514,1.01668,1.50721,0.0089605,0.0089605,0.0089605
23,2940.34,1.1355,1.11395,1.49392,0.79243,0.7401,0.81159,0.46853,1.41216,0.99882,1.50885,0.008911,0.008911,0.008911
24,3064.55,1.12125,1.09098,1.48865,0.77955,0.77036,0.81384,0.47151,1.40763,0.97042,1.48158,0.0088615,0.0088615,0.0088615
25,3189.54,1.11087,1.07525,1.47219,0.80335,0.76036,0.82975,0.48339,1.39489,0.9478,1.47821,0.008812,0.008812,0.008812
26,3315.35,1.12037,1.08291,1.47371,0.80388,0.75257,0.82373,0.47249,1.39541,0.96409,1.49491,0.0087625,0.0087625,0.0087625
27,3440.83,1.1026,1.05265,1.46067,0.80007,0.76665,0.83344,0.49727,1.3801,0.94097,1.45095,0.008713,0.008713,0.008713
28,3566.61,1.10012,1.04449,1.45915,0.80637,0.76993,0.84239,0.50819,1.35958,0.91061,1.45445,0.0086635,0.0086635,0.0086635
29,3691.76,1.07518,1.02654,1.44753,0.79907,0.78218,0.83491,0.49761,1.37563,0.90872,1.45231,0.008614,0.008614,0.008614
30,3819.17,1.08615,1.02862,1.4465,0.83448,0.78477,0.85595,0.51736,1.34583,0.8734,1.43062,0.0085645,0.0085645,0.0085645
31,3947.08,1.07003,1.0018,1.43468,0.80713,0.77576,0.83429,0.5011,1.34578,0.88628,1.43171,0.008515,0.008515,0.008515
32,4074.88,1.06425,0.98772,1.42928,0.84983,0.78742,0.85724,0.51857,1.34691,0.86982,1.4229,0.0084655,0.0084655,0.0084655
33,4201.09,1.05718,0.97471,1.42137,0.80935,0.80322,0.85457,0.52173,1.33112,0.84499,1.4015,0.008416,0.008416,0.008416
34,4328.67,1.05732,0.98289,1.42232,0.83896,0.79867,0.86316,0.53021,1.31737,0.84085,1.41481,0.0083665,0.0083665,0.0083665
35,4454.84,1.04818,0.96913,1.41658,0.82012,0.79913,0.86078,0.53327,1.31381,0.83592,1.40084,0.008317,0.008317,0.008317
36,4581.87,1.03676,0.95141,1.40217,0.84209,0.80527,0.8692,0.53736,1.30577,0.81412,1.39814,0.0082675,0.0082675,0.0082675
37,4708.52,1.03677,0.94636,1.39697,0.83029,0.8161,0.8707,0.53952,1.29389,0.8083,1.38284,0.008218,0.008218,0.008218
38,4834.78,1.03189,0.93883,1.39222,0.8524,0.80793,0.87311,0.54344,1.30085,0.79284,1.39117,0.0081685,0.0081685,0.0081685
39,4961.46,1.03165,0.9269,1.3917,0.82516,0.81275,0.86574,0.54305,1.2913,0.78846,1.38821,0.008119,0.008119,0.008119
40,5091.7,1.0109,0.91167,1.3791,0.84277,0.82576,0.87815,0.54326,1.2957,0.77863,1.38637,0.0080695,0.0080695,0.0080695
41,5223.28,1.01028,0.90168,1.37685,0.84194,0.81683,0.87707,0.55744,1.2836,0.77472,1.3759,0.00802,0.00802,0.00802
42,5353.87,1.01434,0.90021,1.38279,0.85851,0.81992,0.88092,0.55499,1.27775,0.76667,1.37503,0.0079705,0.0079705,0.0079705
43,5480.54,1.00235,0.88873,1.37275,0.86142,0.8256,0.88736,0.56487,1.27287,0.75357,1.37275,0.007921,0.007921,0.007921
44,5607.77,0.99183,0.88134,1.3621,0.87257,0.81993,0.88877,0.56297,1.27428,0.76003,1.37074,0.0078715,0.0078715,0.0078715
45,5737.55,0.99413,0.86748,1.36094,0.85571,0.81827,0.88179,0.56161,1.25999,0.74611,1.37485,0.007822,0.007822,0.007822
46,5865.16,0.98766,0.86755,1.3573,0.85411,0.82604,0.8858,0.56516,1.26372,0.74531,1.35267,0.0077725,0.0077725,0.0077725
47,5991.58,0.9778,0.85664,1.35008,0.86086,0.82381,0.88721,0.57012,1.25092,0.7366,1.35097,0.007723,0.007723,0.007723
48,6121.64,0.97444,0.85882,1.34683,0.85599,0.83239,0.88811,0.57472,1.24742,0.72635,1.34352,0.0076735,0.0076735,0.0076735
49,6253.39,0.97471,0.84923,1.34561,0.84607,0.85016,0.89236,0.57444,1.25138,0.71392,1.34037,0.007624,0.007624,0.007624
50,6382.35,0.97634,0.84384,1.33907,0.85192,0.85012,0.89053,0.57074,1.23561,0.72111,1.32978,0.0075745,0.0075745,0.0075745
51,6508.9,0.96322,0.83724,1.33338,0.83693,0.85098,0.88958,0.57378,1.24146,0.71585,1.3355,0.007525,0.007525,0.007525
52,6634.08,0.96542,0.83347,1.33432,0.8613,0.85291,0.89585,0.57634,1.24256,0.70839,1.33347,0.0074755,0.0074755,0.0074755
