epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,104.552,1.93018,4.36838,2.10342,0,0,0,0,0,0,0,0.0701596,0.0033156,0.0033156
2,200.847,1.98128,3.7124,2.11963,0,0,0,0,0,0,0,0.0400937,0.00658311,0.00658311
3,292.801,2.16237,3.72048,2.34442,0,0,0,0,0,0,0,0.00996193,0.00978462,0.00978462
4,384.193,2.29844,3.75509,2.56021,0,0,0,0,0,0,0,0.009703,0.009703,0.009703
5,474.693,2.24841,3.65237,2.56333,0,0,0,0,0,0,0,0.009604,0.009604,0.009604
6,567.056,2.25314,3.53145,2.52057,0,0,0,0,0,0,0,0.009505,0.009505,0.009505
7,661.732,2.15606,3.37902,2.4442,0,0,0,0,0,0,0,0.009406,0.009406,0.009406
8,754.225,2.10505,3.28817,2.4013,0,0,0,0,0,0,0,0.009307,0.009307,0.009307
9,849.76,2.08564,3.22973,2.3586,0,0,0,0,0,0,0,0.009208,0.009208,0.009208
10,944.324,2.07636,3.16809,2.34259,0,0,0,0,0,0,0,0.009109,0.009109,0.009109
11,1039.11,2.03944,3.11631,2.33571,0,0,0,0,0,0,0,0.00901,0.00901,0.00901
12,1137.06,2.02611,3.05861,2.29132,0,0,0,0,0,0,0,0.008911,0.008911,0.008911
13,1232.8,1.99273,3.01228,2.25994,0,0,0,0,0,0,0,0.008812,0.008812,0.008812
14,1329.46,1.98004,2.96035,2.22636,0,0,0,0,0,0,0,0.008713,0.008713,0.008713
15,1421.86,1.96154,2.87825,2.21088,0,0,0,0,0,0,0,0.008614,0.008614,0.008614
16,1516.23,1.93436,2.80537,2.1711,0,0,0,0,0,0,0,0.008515,0.008515,0.008515
17,1607.9,1.94511,2.84157,2.20074,0,0,0,0,0,0,0,0.008416,0.008416,0.008416
18,1701.81,1.9115,2.77346,2.1582,0,0,0,0,0,0,0,0.008317,0.008317,0.008317
19,1794.64,1.92149,2.79796,2.16805,0,0,0,0,0,0,0,0.008218,0.008218,0.008218
20,1886.23,1.88282,2.68809,2.12588,0,0,0,0,0,0,0,0.008119,0.008119,0.008119
21,1977.79,1.885,2.65571,2.12808,0,0,0,0,0,0,0,0.00802,0.00802,0.00802
22,2073.77,1.87352,2.68781,2.11945,0,0,0,0,0,0,0,0.007921,0.007921,0.007921
23,2165.54,1.86658,2.61347,2.11028,0,0,0,0,0,0,0,0.007822,0.007822,0.007822
24,2257.58,1.83242,2.59028,2.08535,0,0,0,0,0,0,0,0.007723,0.007723,0.007723
25,2350.4,1.84877,2.59976,2.10579,0,0,0,0,0,0,0,0.007624,0.007624,0.007624
26,2444.04,1.8119,2.50259,2.06249,0,0,0,0,0,0,0,0.007525,0.007525,0.007525
27,2535.53,1.81604,2.4655,2.04287,0,0,0,0,0,0,0,0.007426,0.007426,0.007426
28,2628.38,1.79086,2.45216,2.0421,0,0,0,0,0,0,0,0.007327,0.007327,0.007327
29,2721.89,1.79202,2.45778,2.03237,0,0,0,0,0,0,0,0.007228,0.007228,0.007228
30,2814.23,1.79513,2.46274,2.02767,0,0,0,0,0,0,0,0.007129,0.007129,0.007129
31,2908.04,1.77803,2.43911,2.02061,0,0,0,0,0,0,0,0.00703,0.00703,0.00703
32,3002.47,1.79725,2.40798,2.02478,0,0,0,0,0,0,0,0.006931,0.006931,0.006931
33,3097.13,1.77244,2.34926,2.02208,0,0,0,0,0,0,0,0.006832,0.006832,0.006832
34,3190.7,1.77446,2.39005,2.00585,0,0,0,0,0,0,0,0.006733,0.006733,0.006733
35,3283.18,1.73337,2.31431,1.98947,0,0,0,0,0,0,0,0.006634,0.006634,0.006634
36,3374.56,1.71581,2.28408,1.95801,0,0,0,0,0,0,0,0.006535,0.006535,0.006535
37,3466.67,1.74082,2.29784,1.98855,0,0,0,0,0,0,0,0.006436,0.006436,0.006436
38,3559.03,1.72271,2.26425,1.96047,0,0,0,0,0,0,0,0.006337,0.006337,0.006337
39,3653.21,1.70484,2.23759,1.95299,0,0,0,0,0,0,0,0.006238,0.006238,0.006238
40,3747.07,1.70883,2.25306,1.95172,0,0,0,0,0,0,0,0.006139,0.006139,0.006139
41,3838.68,1.68853,2.23295,1.93911,0,0,0,0,0,0,0,0.00604,0.00604,0.00604
42,3930.32,1.68097,2.19862,1.93405,0,0,0,0,0,0,0,0.005941,0.005941,0.005941
43,4022.79,1.68894,2.16707,1.92957,0,0,0,0,0,0,0,0.005842,0.005842,0.005842
44,4114.17,1.64993,2.12235,1.89762,0,0,0,0,0,0,0,0.005743,0.005743,0.005743
45,4205.98,1.66699,2.15718,1.91864,0,0,0,0,0,0,0,0.005644,0.005644,0.005644
46,4299.33,1.67336,2.11668,1.91234,0,0,0,0,0,0,0,0.005545,0.005545,0.005545
47,4392.3,1.67157,2.14235,1.92471,0,0,0,0,0,0,0,0.005446,0.005446,0.005446
48,4483.96,1.66521,2.09762,1.90182,0,0,0,0,0,0,0,0.005347,0.005347,0.005347
49,4576.2,1.63878,2.10577,1.89238,0,0,0,0,0,0,0,0.005248,0.005248,0.005248
50,4668.32,1.62272,2.06449,1.87689,0,0,0,0,0,0,0,0.005149,0.005149,0.005149
51,4760.57,1.64182,2.07578,1.87966,0,0,0,0,0,0,0,0.00505,0.00505,0.00505
52,4852.19,1.62599,2.01921,1.86421,0,0,0,0,0,0,0,0.004951,0.004951,0.004951
53,4944.88,1.62338,2.04895,1.86631,0,0,0,0,0,0,0,0.004852,0.004852,0.004852
54,5036.8,1.61366,2.03082,1.86049,0,0,0,0,0,0,0,0.004753,0.004753,0.004753
55,5127.86,1.60684,1.96433,1.85742,0,0,0,0,0,0,0,0.004654,0.004654,0.004654
56,5219.03,1.61444,2.00454,1.85441,0,0,0,0,0,0,0,0.004555,0.004555,0.004555
57,5311.95,1.60243,1.99471,1.85361,0,0,0,0,0,0,0,0.004456,0.004456,0.004456
58,5409.56,1.5935,1.9826,1.84104,0,0,0,0,0,0,0,0.004357,0.004357,0.004357
59,5501.7,1.59158,1.94413,1.83865,0,0,0,0,0,0,0,0.004258,0.004258,0.004258
60,5594.35,1.58835,1.94261,1.82569,0,0,0,0,0,0,0,0.004159,0.004159,0.004159
61,5686.05,1.59493,1.9351,1.82832,0,0,0,0,0,0,0,0.00406,0.00406,0.00406
62,5778.63,1.55742,1.89232,1.80608,0,0,0,0,0,0,0,0.003961,0.003961,0.003961
63,5871.17,1.56408,1.86194,1.82462,0,0,0,0,0,0,0,0.003862,0.003862,0.003862
64,5964.03,1.56138,1.85561,1.79372,0,0,0,0,0,0,0,0.003763,0.003763,0.003763
65,6056.64,1.58297,1.87495,1.8124,0,0,0,0,0,0,0,0.003664,0.003664,0.003664
66,6148.94,1.52072,1.82556,1.77566,0,0,0,0,0,0,0,0.003565,0.003565,0.003565
67,6240.34,1.55458,1.83533,1.80099,0,0,0,0,0,0,0,0.003466,0.003466,0.003466
68,6332.29,1.51981,1.80833,1.76517,0,0,0,0,0,0,0,0.003367,0.003367,0.003367
69,6423.88,1.5358,1.82387,1.7839,0,0,0,0,0,0,0,0.003268,0.003268,0.003268
70,6519.3,1.51782,1.75619,1.75494,0,0,0,0,0,0,0,0.003169,0.003169,0.003169
71,6611.7,1.5251,1.77647,1.78628,0,0,0,0,0,0,0,0.00307,0.00307,0.00307
72,6703.94,1.49378,1.73261,1.73837,0,0,0,0,0,0,0,0.002971,0.002971,0.002971
73,6797.37,1.52297,1.79033,1.78838,0,0,0,0,0,0,0,0.002872,0.002872,0.002872
74,6891.38,1.5017,1.74925,1.75943,0,0,0,0,0,0,0,0.002773,0.002773,0.002773
75,6983.28,1.48552,1.71573,1.74112,0,0,0,0,0,0,0,0.002674,0.002674,0.002674
76,7074.65,1.49012,1.69729,1.74137,0,0,0,0,0,0,0,0.002575,0.002575,0.002575
77,7166.97,1.50132,1.74305,1.74672,0,0,0,0,0,0,0,0.002476,0.002476,0.002476
78,7260.97,1.45265,1.65198,1.71271,0,0,0,0,0,0,0,0.002377,0.002377,0.002377
79,7353.29,1.47179,1.67793,1.71688,0,0,0,0,0,0,0,0.002278,0.002278,0.002278
80,7447.05,1.47886,1.66454,1.73428,0,0,0,0,0,0,0,0.002179,0.002179,0.002179
81,7539.31,1.47779,1.67132,1.6983,0,0,0,0,0,0,0,0.00208,0.00208,0.00208
82,7631.2,1.46279,1.67363,1.71811,0,0,0,0,0,0,0,0.001981,0.001981,0.001981
83,7724.25,1.4632,1.6636,1.70137,0,0,0,0,0,0,0,0.001882,0.001882,0.001882
84,7815.84,1.46742,1.66914,1.7124,0,0,0,0,0,0,0,0.001783,0.001783,0.001783
85,7909.38,1.45199,1.64675,1.69945,0,0,0,0,0,0,0,0.001684,0.001684,0.001684
86,8011.66,1.31235,1.25109,1.5901,0,0,0,0,0,0,0,0.001585,0.001585,0.001585
87,8103.84,1.3042,1.22357,1.60063,0,0,0,0,0,0,0,0.001486,0.001486,0.001486
88,8194.82,1.31421,1.21706,1.59762,0,0,0,0,0,0,0,0.001387,0.001387,0.001387
89,8286.03,1.28769,1.18677,1.57699,0,0,0,0,0,0,0,0.001288,0.001288,0.001288
90,8377.93,1.26711,1.17251,1.56,0,0,0,0,0,0,0,0.001189,0.001189,0.001189
91,8469.78,1.26657,1.13443,1.55274,0,0,0,0,0,0,0,0.00109,0.00109,0.00109
92,8562.74,1.27452,1.15204,1.57187,0,0,0,0,0,0,0,0.000991,0.000991,0.000991
93,8654,1.2681,1.12122,1.55382,0,0,0,0,0,0,0,0.000892,0.000892,0.000892
94,8745.91,1.24537,1.10515,1.53172,0,0,0,0,0,0,0,0.000793,0.000793,0.000793
95,8839.52,1.25792,1.11406,1.54091,0,0,0,0,0,0,0,0.000694,0.000694,0.000694
96,8931.8,1.23772,1.08592,1.5262,0,0,0,0,0,0,0,0.000595,0.000595,0.000595
97,9023.27,1.25486,1.09077,1.53305,0,0,0,0,0,0,0,0.000496,0.000496,0.000496
98,9115.02,1.2387,1.1011,1.53048,0,0,0,0,0,0,0,0.000397,0.000397,0.000397
99,9207.69,1.22833,1.07999,1.52474,0,0,0,0,0,0,0,0.000298,0.000298,0.000298
100,9369.19,1.24729,1.065,1.52931,0.74197,0.5465,0.62045,0.34212,1.20191,1.51145,1.33859,0.000199,0.000199,0.000199
