epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,148.097,1.71953,2.7505,1.93561,0.53196,0.46872,0.48742,0.23446,1.46593,4.68454,1.50966,0.0700735,0.00332516,0.00332516
2,253.318,1.75549,2.21833,1.95349,0.49393,0.41661,0.40932,0.16253,1.6537,5.37247,1.7355,0.0400406,0.00662554,0.00662554
3,355.725,1.943,2.63078,2.16312,0.28308,0.0901,0.0907,0.03891,2.03886,37.4272,2.43861,0.00997461,0.00989291,0.00989291
4,458.785,2.09283,3.06281,2.35178,0.24662,0.20215,0.14922,0.05542,1.92337,37.0212,2.14167,0.0098515,0.0098515,0.0098515
5,561.572,1.98711,2.82937,2.26257,0.40579,0.25427,0.23321,0.10493,1.71837,5.79005,1.8794,0.009802,0.009802,0.009802
6,663.27,1.89913,2.6344,2.16968,0.41711,0.36188,0.32594,0.1387,1.69585,8.56162,1.87261,0.0097525,0.0097525,0.0097525
7,766.156,1.83633,2.50162,2.12259,0.51697,0.39401,0.38564,0.17384,1.63883,3.883,1.77108,0.009703,0.009703,0.009703
8,867.514,1.78643,2.36713,2.07124,0.50059,0.4138,0.40632,0.19156,1.51352,4.08548,1.63141,0.0096535,0.0096535,0.0096535
9,968.191,1.73518,2.25534,2.00902,0.55191,0.41386,0.42517,0.21304,1.44409,5.48413,1.58555,0.009604,0.009604,0.009604
10,1069.2,1.7107,2.20397,1.99829,0.6041,0.44626,0.47366,0.24272,1.43673,2.75759,1.60011,0.0095545,0.0095545,0.0095545
11,1169.7,1.68657,2.13826,1.96766,0.5503,0.45758,0.47101,0.24043,1.38647,4.49054,1.54789,0.009505,0.009505,0.009505
12,1269.8,1.65657,2.06989,1.93745,0.60387,0.50706,0.54289,0.28678,1.3544,3.43161,1.49074,0.0094555,0.0094555,0.0094555
13,1370.16,1.64597,2.03196,1.92556,0.67886,0.51174,0.56412,0.2965,1.32882,2.49358,1.48743,0.009406,0.009406,0.009406
14,1470.73,1.61999,1.98822,1.89638,0.66902,0.50793,0.57383,0.31949,1.28082,3.48711,1.43364,0.0093565,0.0093565,0.0093565
15,1571.55,1.60766,1.94323,1.88608,0.66066,0.52838,0.5826,0.31673,1.25731,4.68365,1.4158,0.009307,0.009307,0.009307
16,1672.81,1.59667,1.90316,1.87398,0.69852,0.54671,0.61102,0.33728,1.24887,2.9272,1.38741,0.0092575,0.0092575,0.0092575
17,1779.54,1.56558,1.85694,1.8515,0.68249,0.57503,0.63466,0.36005,1.21155,3.30642,1.38608,0.009208,0.009208,0.009208
18,1889.84,1.55862,1.82323,1.8477,0.69443,0.57326,0.63643,0.36915,1.18693,2.426,1.3608,0.0091585,0.0091585,0.0091585
19,1996.24,1.54023,1.78014,1.8251,0.67055,0.58092,0.6234,0.36762,1.16152,3.88503,1.34111,0.009109,0.009109,0.009109
20,2108.22,1.53449,1.76962,1.80841,0.69,0.61692,0.66553,0.39506,1.17094,2.58376,1.34328,0.0090595,0.0090595,0.0090595
21,2242.65,1.52918,1.74003,1.80286,0.73841,0.59413,0.68092,0.40187,1.15347,2.15313,1.30913,0.00901,0.00901,0.00901
22,2370.7,1.50518,1.69202,1.78714,0.7401,0.62062,0.69166,0.41774,1.1181,2.93668,1.29743,0.0089605,0.0089605,0.0089605
23,2504.4,1.49468,1.68129,1.78013,0.75221,0.63304,0.70973,0.41926,1.13634,2.49573,1.29294,0.008911,0.008911,0.008911
24,2639.04,1.49419,1.67516,1.77778,0.737,0.64621,0.71627,0.42324,1.14662,2.26578,1.31099,0.0088615,0.0088615,0.0088615
25,2773.93,1.48555,1.64724,1.76072,0.75466,0.65645,0.73104,0.4321,1.11874,2.63294,1.29284,0.008812,0.008812,0.008812
26,2908.99,1.46679,1.61574,1.74927,0.74515,0.64285,0.71701,0.42506,1.14424,1.76104,1.31036,0.0087625,0.0087625,0.0087625
27,3045.16,1.4671,1.616,1.74203,0.75963,0.64716,0.72524,0.44317,1.11937,1.87405,1.27899,0.008713,0.008713,0.008713
28,3181.4,1.44027,1.56801,1.71802,0.78936,0.67306,0.75629,0.46029,1.09913,1.88668,1.27431,0.0086635,0.0086635,0.0086635
29,3316.18,1.43509,1.57299,1.71723,0.76783,0.68475,0.75391,0.4613,1.10057,2.35129,1.25782,0.008614,0.008614,0.008614
30,3449.69,1.43337,1.55967,1.71347,0.78354,0.67855,0.75916,0.47582,1.07444,3.22725,1.23885,0.0085645,0.0085645,0.0085645
31,3582,1.4202,1.52989,1.69717,0.78017,0.67818,0.76293,0.47236,1.07156,2.59022,1.24349,0.008515,0.008515,0.008515
32,3714.74,1.4232,1.52618,1.70228,0.81657,0.68994,0.77735,0.4843,1.04147,2.57479,1.21091,0.0084655,0.0084655,0.0084655
33,3852.95,1.39288,1.48531,1.67996,0.79827,0.69928,0.78007,0.48244,1.06701,1.86948,1.24181,0.008416,0.008416,0.008416
34,3986.5,1.38567,1.47282,1.67402,0.79899,0.7055,0.78516,0.50871,0.99891,2.00832,1.18844,0.0083665,0.0083665,0.0083665
35,4125.09,1.40028,1.47774,1.67443,0.80032,0.69218,0.78347,0.50228,1.01462,2.33055,1.19593,0.008317,0.008317,0.008317
