epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,122.875,1.68864,2.63112,1.892,0.48526,0.52208,0.48257,0.21357,1.48268,8.7919,1.57561,0.0700783,0.00332463,0.00332463
2,216.186,1.69867,2.11797,1.88307,0.53169,0.38568,0.40896,0.18579,1.52708,5.14978,1.60854,0.0400454,0.00662501,0.00662501
3,323.751,1.86747,2.51278,2.06994,0.12892,0.22162,0.10526,0.04126,1.83206,43.4354,2.05558,0.00997942,0.00989238,0.00989238
4,430.016,1.99368,2.87734,2.24752,0.22251,0.19323,0.13582,0.05516,1.87613,20.083,2.08933,0.0098515,0.0098515,0.0098515
5,539.714,1.90731,2.71255,2.18092,0.34921,0.27202,0.2264,0.09893,1.69121,8.7787,1.85855,0.009802,0.009802,0.009802
6,637.003,1.83014,2.52569,2.09799,0.42096,0.35245,0.33994,0.15254,1.55125,5.55727,1.68441,0.0097525,0.0097525,0.0097525
7,753.91,1.76726,2.38507,2.03971,0.44086,0.42013,0.38176,0.18524,1.479,5.32134,1.60914,0.009703,0.009703,0.009703
8,855.791,1.71352,2.27349,1.99249,0.55699,0.43484,0.45438,0.21912,1.50573,5.49111,1.65931,0.0096535,0.0096535,0.0096535
9,972.843,1.69382,2.20699,1.96022,0.58165,0.46992,0.48765,0.23975,1.40458,6.22821,1.55467,0.009604,0.009604,0.009604
10,1079.51,1.65512,2.1083,1.928,0.60163,0.50765,0.53842,0.2724,1.37479,4.29997,1.49844,0.0095545,0.0095545,0.0095545
11,1180.49,1.64147,2.06569,1.90013,0.61682,0.49827,0.54057,0.2827,1.30866,2.3392,1.44484,0.009505,0.009505,0.009505
12,1273,1.60765,1.99398,1.87004,0.62209,0.53469,0.57622,0.32269,1.2108,1.67668,1.36292,0.0094555,0.0094555,0.0094555
13,1369.05,1.60049,1.95263,1.86218,0.69983,0.55755,0.61563,0.33685,1.24674,2.39807,1.37725,0.009406,0.009406,0.009406
14,1460.42,1.57577,1.92372,1.84218,0.69644,0.53128,0.60281,0.34286,1.18647,1.56266,1.32864,0.0093565,0.0093565,0.0093565
15,1560.54,1.55277,1.86713,1.81952,0.65053,0.58809,0.63887,0.36147,1.16533,3.83676,1.33282,0.009307,0.009307,0.009307
16,1667.34,1.54166,1.83614,1.81416,0.70849,0.58719,0.64487,0.35838,1.22196,3.17035,1.37681,0.0092575,0.0092575,0.0092575
17,1769.79,1.53382,1.80706,1.80327,0.75568,0.59348,0.6738,0.38739,1.14978,1.97784,1.30832,0.009208,0.009208,0.009208
18,1899.37,1.51523,1.78056,1.78,0.73625,0.58296,0.67604,0.39666,1.10463,1.76136,1.26302,0.0091585,0.0091585,0.0091585
19,1990.76,1.49759,1.75325,1.7804,0.70855,0.62284,0.68676,0.38665,1.21082,1.64728,1.36075,0.009109,0.009109,0.009109
20,2083.78,1.48729,1.71396,1.7644,0.7536,0.61691,0.70208,0.42441,1.0773,1.60342,1.25519,0.0090595,0.0090595,0.0090595
21,2189.89,1.46707,1.68202,1.7472,0.74788,0.6283,0.71039,0.42478,1.08978,1.86699,1.25967,0.00901,0.00901,0.00901
22,2291.37,1.46628,1.66202,1.73344,0.75843,0.65628,0.73487,0.44484,1.07088,1.74753,1.2408,0.0089605,0.0089605,0.0089605
23,2391.18,1.45807,1.64824,1.72403,0.76277,0.65534,0.7411,0.4572,1.06637,1.59358,1.2289,0.008911,0.008911,0.008911
24,2485.82,1.45649,1.6428,1.72283,0.73206,0.66296,0.72262,0.44489,1.05154,2.4618,1.21774,0.0088615,0.0088615,0.0088615
25,2583.3,1.42513,1.59729,1.70039,0.78247,0.68477,0.76157,0.46201,1.04012,1.53674,1.21302,0.008812,0.008812,0.008812
26,2689.24,1.426,1.58484,1.69773,0.74456,0.68691,0.75108,0.46573,1.02406,1.51655,1.18872,0.0087625,0.0087625,0.0087625
27,2795.82,1.40673,1.56977,1.68483,0.78054,0.68714,0.76453,0.47681,1.03178,2.24938,1.19429,0.008713,0.008713,0.008713
28,2907.9,1.40777,1.55238,1.68032,0.77867,0.6905,0.77222,0.49361,0.99488,1.79184,1.17065,0.0086635,0.0086635,0.0086635
29,3018.57,1.39424,1.52394,1.6678,0.81198,0.68371,0.77861,0.48924,1.00513,1.38437,1.17033,0.008614,0.008614,0.008614
30,3108.87,1.3826,1.51534,1.66483,0.79914,0.71345,0.79306,0.50173,0.99005,1.40117,1.16217,0.0085645,0.0085645,0.0085645
31,3211.48,1.38471,1.50796,1.66351,0.816,0.71006,0.80303,0.5178,0.96649,1.27556,1.14061,0.008515,0.008515,0.008515
32,3313.59,1.37051,1.49626,1.65293,0.80299,0.72593,0.8047,0.51333,0.99039,1.28677,1.16054,0.0084655,0.0084655,0.0084655
33,3427.77,1.35553,1.46614,1.64275,0.82116,0.71391,0.80475,0.5203,0.96597,1.30957,1.13573,0.008416,0.008416,0.008416
34,3525.85,1.35454,1.44217,1.62855,0.80774,0.72934,0.80812,0.53015,0.94798,1.22098,1.13097,0.0083665,0.0083665,0.0083665
35,3620.24,1.34566,1.43151,1.61983,0.82593,0.74631,0.81824,0.53367,0.94196,1.28398,1.12276,0.008317,0.008317,0.008317
36,3711.84,1.33839,1.41577,1.61327,0.8195,0.7404,0.81868,0.54074,0.92671,1.35844,1.10316,0.0082675,0.0082675,0.0082675
37,3830.72,1.3428,1.42979,1.61939,0.84361,0.74275,0.83803,0.5485,0.93678,1.32448,1.11307,0.008218,0.008218,0.008218
38,3950.43,1.33679,1.39551,1.60875,0.8331,0.75092,0.83061,0.54367,0.93348,1.58546,1.11281,0.0081685,0.0081685,0.0081685
39,4051.58,1.32079,1.38338,1.59717,0.8183,0.7554,0.82752,0.5466,0.90794,1.1658,1.09129,0.008119,0.008119,0.008119
40,4162.99,1.32024,1.3683,1.59402,0.83161,0.76982,0.8397,0.55713,0.91755,1.64595,1.09741,0.0080695,0.0080695,0.0080695
41,4267.03,1.30818,1.35988,1.58697,0.87083,0.75407,0.85119,0.56089,0.91976,1.43475,1.09732,0.00802,0.00802,0.00802
42,4360.91,1.30504,1.35708,1.58612,0.85122,0.76785,0.84827,0.56337,0.90504,1.27761,1.08579,0.0079705,0.0079705,0.0079705
43,4467.89,1.2981,1.33766,1.58422,0.85392,0.7692,0.85191,0.57202,0.88567,1.35465,1.07784,0.007921,0.007921,0.007921
44,4579.25,1.28798,1.33773,1.5758,0.85907,0.77966,0.85639,0.56648,0.90067,1.54903,1.08096,0.0078715,0.0078715,0.0078715
45,4681.44,1.28659,1.32915,1.56376,0.85967,0.77681,0.85703,0.57381,0.90688,1.62573,1.08134,0.007822,0.007822,0.007822
46,4789,1.28366,1.32725,1.57056,0.86178,0.76974,0.85904,0.58223,0.89723,1.35722,1.07788,0.0077725,0.0077725,0.0077725
47,4899.34,1.26997,1.30054,1.55543,0.86764,0.78257,0.86247,0.58376,0.87837,1.30535,1.06642,0.007723,0.007723,0.007723
48,4992.15,1.26202,1.29544,1.55177,0.87401,0.79902,0.86929,0.58509,0.88242,1.36344,1.06573,0.0076735,0.0076735,0.0076735
49,5128.92,1.25849,1.28169,1.54183,0.8659,0.79223,0.87176,0.5932,0.86379,1.28392,1.05188,0.007624,0.007624,0.007624
50,5235.45,1.25053,1.26799,1.54288,0.85955,0.79396,0.87243,0.59224,0.86925,1.23421,1.05309,0.0075745,0.0075745,0.0075745
51,5347.86,1.25379,1.27633,1.54107,0.88062,0.78177,0.87594,0.59809,0.85929,1.28429,1.05243,0.007525,0.007525,0.007525
52,5455.65,1.23454,1.241,1.52362,0.8765,0.80059,0.87984,0.60339,0.84553,1.1833,1.04273,0.0074755,0.0074755,0.0074755
53,5569.02,1.23254,1.23305,1.52376,0.88098,0.8013,0.88562,0.60946,0.83596,1.24492,1.03292,0.007426,0.007426,0.007426
54,5664.7,1.23236,1.23539,1.52055,0.89157,0.80282,0.89108,0.61084,0.8431,1.21835,1.03568,0.0073765,0.0073765,0.0073765
55,5769.81,1.23046,1.23721,1.51935,0.90241,0.79738,0.89047,0.61139,0.84598,1.13827,1.03818,0.007327,0.007327,0.007327
56,5876.62,1.22597,1.23887,1.52014,0.8926,0.81789,0.89351,0.61213,0.84997,1.11623,1.03877,0.0072775,0.0072775,0.0072775
57,6000.01,1.21503,1.21447,1.51158,0.89444,0.82259,0.8959,0.62086,0.83589,1.03614,1.03111,0.007228,0.007228,0.007228
58,6100.36,1.21337,1.20523,1.50706,0.88991,0.81248,0.89231,0.62318,0.82586,1.17009,1.0249,0.0071785,0.0071785,0.0071785
59,6208.29,1.21107,1.20422,1.5084,0.88376,0.81794,0.89204,0.62819,0.81043,1.15818,1.01671,0.007129,0.007129,0.007129
60,6324.99,1.20204,1.1791,1.50093,0.8864,0.82297,0.8924,0.62883,0.80503,1.19149,1.0139,0.0070795,0.0070795,0.0070795
61,6442.42,1.20384,1.17178,1.50431,0.8895,0.82407,0.8933,0.63378,0.79394,1.16102,1.00562,0.00703,0.00703,0.00703
62,6547.45,1.20572,1.18043,1.4971,0.89668,0.81938,0.89516,0.63543,0.79383,1.16055,1.00759,0.0069805,0.0069805,0.0069805
63,6663.05,1.19741,1.18192,1.49458,0.89197,0.82671,0.89396,0.63492,0.79587,1.17351,1.007,0.006931,0.006931,0.006931
64,6758.69,1.19445,1.15887,1.48653,0.89113,0.80827,0.89351,0.63417,0.7963,1.17278,1.00486,0.0068815,0.0068815,0.0068815
65,6868.46,1.18683,1.15734,1.48421,0.90204,0.80204,0.8943,0.6369,0.79925,1.1981,1.0099,0.006832,0.006832,0.006832
66,6980,1.18396,1.15683,1.48268,0.88591,0.81907,0.89568,0.63709,0.79768,1.14729,1.00795,0.0067825,0.0067825,0.0067825
67,7095.35,1.1826,1.15804,1.48547,0.89579,0.80762,0.8965,0.63854,0.79389,1.06125,1.00533,0.006733,0.006733,0.006733
68,7214.18,1.1739,1.12181,1.47318,0.88349,0.8274,0.89997,0.64125,0.7933,1.09894,1.00261,0.0066835,0.0066835,0.0066835
69,7318.2,1.18056,1.13921,1.46792,0.88106,0.82448,0.90233,0.64193,0.79184,1.13449,0.99953,0.006634,0.006634,0.006634
70,7411.55,1.16935,1.13326,1.47128,0.88565,0.83095,0.90748,0.64629,0.78967,1.12066,1.00048,0.0065845,0.0065845,0.0065845
71,7502.48,1.16998,1.11811,1.46016,0.90392,0.81828,0.90716,0.64698,0.78668,1.14682,0.99837,0.006535,0.006535,0.006535
72,7612.22,1.16849,1.12595,1.46605,0.907,0.81652,0.90842,0.65027,0.78305,1.1483,0.99718,0.0064855,0.0064855,0.0064855
73,7715.9,1.15484,1.10093,1.45405,0.8969,0.83165,0.91071,0.65228,0.77922,1.12534,0.99501,0.006436,0.006436,0.006436
74,7806.17,1.14605,1.09651,1.44716,0.89876,0.82887,0.91129,0.65426,0.77633,1.13401,0.99363,0.0063865,0.0063865,0.0063865
75,7896.64,1.15498,1.1067,1.45961,0.89708,0.82697,0.91117,0.65566,0.77336,1.13139,0.99197,0.006337,0.006337,0.006337
76,7988.03,1.149,1.09748,1.44741,0.89668,0.82836,0.91265,0.65586,0.77073,1.14653,0.98945,0.0062875,0.0062875,0.0062875
77,8084.75,1.15375,1.09809,1.45524,0.89848,0.82893,0.91254,0.65465,0.76958,1.1352,0.98803,0.006238,0.006238,0.006238
78,8175.66,1.13877,1.05901,1.4398,0.87899,0.84592,0.9129,0.65732,0.76829,1.15652,0.98695,0.0061885,0.0061885,0.0061885
79,8265.86,1.1449,1.08667,1.44362,0.89754,0.83328,0.91363,0.65789,0.76769,1.15177,0.98596,0.006139,0.006139,0.006139
80,8357.25,1.12323,1.06138,1.4307,0.89543,0.83903,0.91413,0.65907,0.76572,1.14437,0.98425,0.0060895,0.0060895,0.0060895
