epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,149.423,1.72272,2.71489,1.93775,0.5215,0.47057,0.47448,0.21881,1.43749,7.79719,1.40357,0.0700759,0.00332489,0.00332489
2,254.349,1.74493,2.20806,1.92891,0.50397,0.41999,0.41638,0.18586,1.50894,10.6435,1.54431,0.040043,0.00662527,0.00662527
3,358.616,1.93773,2.61176,2.15216,0.14845,0.17073,0.06061,0.02147,1.99856,50.69,2.2887,0.00997703,0.00989264,0.00989264
4,461.6,2.07693,3.01437,2.33579,0.24476,0.26239,0.19302,0.07932,1.85884,13.5055,2.07554,0.0098515,0.0098515,0.0098515
5,563.625,1.9685,2.81436,2.26396,0.27044,0.21901,0.1591,0.05717,1.91563,19.8088,2.11566,0.009802,0.009802,0.009802
6,663.924,1.89606,2.63094,2.19001,0.42322,0.30278,0.29004,0.12992,1.64661,4.26959,1.79699,0.0097525,0.0097525,0.0097525
7,766.628,1.81612,2.46629,2.09421,0.56988,0.39007,0.41511,0.19914,1.537,2.79896,1.65778,0.009703,0.009703,0.009703
8,870.097,1.79376,2.3953,2.07747,0.51902,0.39077,0.41419,0.20305,1.44322,6.56796,1.60165,0.0096535,0.0096535,0.0096535
9,971.309,1.75288,2.29248,2.02703,0.52787,0.43434,0.43462,0.20405,1.50749,3.79297,1.62872,0.009604,0.009604,0.009604
10,1072.6,1.7186,2.19245,1.99855,0.61903,0.45277,0.50649,0.25028,1.39563,3.61035,1.54044,0.0095545,0.0095545,0.0095545
11,1175.05,1.69415,2.14954,1.96217,0.5575,0.48735,0.48444,0.23894,1.44448,3.34124,1.56373,0.009505,0.009505,0.009505
12,1275.68,1.66345,2.07162,1.92936,0.62025,0.49645,0.52692,0.26067,1.3947,5.15257,1.51549,0.0094555,0.0094555,0.0094555
13,1378.58,1.63372,2.02152,1.9113,0.63591,0.50643,0.55671,0.30084,1.28003,3.2145,1.42226,0.009406,0.009406,0.009406
14,1479.24,1.62003,1.95586,1.89761,0.65865,0.52115,0.57225,0.31283,1.28452,3.29141,1.41345,0.0093565,0.0093565,0.0093565
15,1581.87,1.60673,1.93085,1.87957,0.64988,0.55608,0.61001,0.34709,1.20361,1.6733,1.36545,0.009307,0.009307,0.009307
16,1682.65,1.5705,1.88923,1.84776,0.6727,0.54423,0.60612,0.34405,1.21284,1.85716,1.38724,0.0092575,0.0092575,0.0092575
17,1784.04,1.57145,1.85027,1.84224,0.72031,0.56501,0.63921,0.36024,1.21481,1.55248,1.36041,0.009208,0.009208,0.009208
18,1886.15,1.5604,1.80314,1.83296,0.74231,0.55907,0.65424,0.36451,1.21668,2.45065,1.36454,0.0091585,0.0091585,0.0091585
