epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,150.355,1.87344,2.55831,2.04039,0.48933,0.48865,0.47184,0.20612,1.53404,5.64629,1.46617,0.0700806,0.00332437,0.00332437
2,250.672,1.75846,2.08724,1.93508,0.52098,0.44959,0.43577,0.18113,1.59685,24.7469,1.58626,0.0400477,0.00662475,0.00662475
3,349.14,1.86076,2.36239,2.05993,0.25641,0.20107,0.141,0.04582,1.96336,47.9608,2.04162,0.00998173,0.00989213,0.00989213
4,446.493,1.95953,2.74568,2.21643,0.30102,0.26766,0.19936,0.06784,1.8747,8.75228,1.98084,0.0098515,0.0098515,0.0098515
5,547.44,1.89423,2.57221,2.14248,0.3794,0.30814,0.23965,0.08723,1.77397,12.1603,1.88635,0.009802,0.009802,0.009802
6,646.222,1.82854,2.44442,2.09266,0.334,0.32907,0.28041,0.09861,1.77253,4.26741,1.86272,0.0097525,0.0097525,0.0097525
7,742.289,1.78347,2.33111,2.05756,0.46845,0.43447,0.38556,0.15256,1.70397,8.39077,1.76761,0.009703,0.009703,0.009703
8,837.178,1.74609,2.24464,2.01466,0.5861,0.462,0.47264,0.21056,1.55931,3.69219,1.63189,0.0096535,0.0096535,0.0096535
9,931.718,1.72494,2.17754,1.99642,0.54855,0.4839,0.50031,0.22271,1.52197,2.8161,1.61187,0.009604,0.009604,0.009604
10,1026.29,1.70117,2.11414,1.97792,0.54204,0.4855,0.49702,0.22754,1.47165,3.43176,1.56084,0.0095545,0.0095545,0.0095545
11,1121.75,1.67989,2.08104,1.95777,0.58785,0.53632,0.54724,0.26881,1.41954,2.71437,1.50498,0.009505,0.009505,0.009505
12,1217.19,1.65546,2.01961,1.93891,0.57029,0.55779,0.55768,0.25216,1.46522,4.95865,1.54389,0.0094555,0.0094555,0.0094555
13,1311.34,1.63537,1.9744,1.91272,0.67612,0.5543,0.61142,0.30027,1.39712,2.92821,1.49501,0.009406,0.009406,0.009406
